rain_risk,wind_risk,visibility_risk,slope_risk,traffic_risk_index,night_flag,monsoon_flag,road_type_enc,terrain_enc
0.2,0.1,0.1,0.1,50,0,0,1,1
0.2,0.1,0.3,0.1,33,0,0,1,1
0.2,0.3,0.1,0.4,42,0,0,1,2
0.2,0.1,0.3,0.1,21,1,0,1,1
0.2,0.3,0.3,0.4,24,1,0,1,2
1.0,1.0,0.6,0.4,46,0,1,1,2
1.0,0.3,0.3,0.1,50,0,1,1,1
0.2,0.3,0.1,0.1,27,0,0,1,1
0.7,1.0,0.1,0.4,39,0,1,1,2
0.2,0.3,0.3,0.1,51,0,0,1,1
0.2,0.1,0.3,0.1,48,0,0,1,1
0.4,0.1,0.3,1.0,45,0,0,4,3
0.2,0.3,0.1,1.0,31,1,0,4,3
0.4,0.3,0.3,1.0,37,1,0,4,3
0.2,0.3,0.1,1.0,58,0,0,4,3
0.4,0.3,0.6,1.0,29,1,0,4,3
0.2,0.1,0.3,1.0,37,1,0,2,3
0.4,0.1,0.1,0.7,61,0,0,4,3
1.0,0.3,1.0,1.0,73,0,1,4,3
0.2,0.3,0.3,1.0,44,0,0,4,3
0.4,0.1,0.3,1.0,35,1,0,4,3
0.4,0.3,0.1,1.0,34,1,0,4,3
0.2,0.3,0.6,0.7,20,1,0,1,2
0.2,0.1,0.1,0.7,29,0,0,1,2
0.2,0.3,0.3,0.4,44,1,0,1,2
0.2,0.3,0.1,1.0,58,0,0,4,3
0.2,0.1,0.3,1.0,60,1,0,4,3
1.0,0.3,0.3,1.0,48,1,1,4,3
0.4,1.0,0.6,0.7,44,1,1,2,3
0.2,0.3,0.3,1.0,38,1,0,2,3
0.2,0.1,0.1,1.0,64,0,0,4,3
0.4,0.3,0.3,0.4,30,0,0,1,2
0.2,0.3,0.3,0.4,32,0,0,1,2
0.4,1.0,0.1,0.7,48,0,1,1,2
0.2,0.1,0.1,0.7,28,0,0,2,3
0.2,0.3,0.3,1.0,36,0,0,4,3
0.2,0.1,0.1,0.7,33,0,0,1,2
1.0,0.6,0.3,1.0,60,0,1,4,3
0.2,0.3,0.3,0.4,35,0,0,1,2
0.7,0.3,1.0,1.0,67,0,1,4,3
0.2,0.1,0.1,0.4,51,0,0,1,2
1.0,1.0,0.6,0.1,45,1,1,1,1
0.2,0.1,0.1,0.1,42,0,0,1,1
0.2,0.3,0.1,0.1,30,1,0,1,1
0.2,0.3,0.1,0.4,30,0,0,1,2
0.2,0.1,0.1,0.1,20,1,0,1,1
1.0,1.0,0.3,0.1,45,0,1,1,1
1.0,0.6,0.3,0.4,46,0,1,1,2
0.2,0.3,0.3,0.4,31,0,0,1,2
1.0,1.0,0.3,0.1,51,0,1,1,1
0.2,0.1,0.1,0.7,49,0,0,1,2
1.0,0.6,0.6,0.7,34,1,1,2,3
1.0,0.3,0.3,0.7,48,1,1,4,3
0.7,0.6,0.6,1.0,32,0,1,2,3
0.2,0.3,0.1,1.0,44,0,0,4,3
0.2,0.3,0.3,0.1,33,0,0,1,1
0.2,0.3,0.3,0.1,42,0,0,1,1
0.2,0.1,0.1,0.4,23,1,0,1,2
0.2,0.3,0.3,0.1,32,0,0,1,1
1.0,1.0,0.6,0.4,45,0,1,1,2
0.2,0.3,0.6,0.4,41,1,0,1,2
0.2,0.3,0.3,0.4,30,0,0,1,2
0.2,0.1,0.3,0.7,20,0,0,2,2
0.2,0.1,0.3,0.1,68,0,0,3,1
0.4,0.3,0.1,0.4,35,0,0,1,2
0.2,0.3,0.1,0.1,57,0,0,3,1
1.0,0.6,1.0,0.4,57,1,1,3,2
0.2,0.3,0.1,0.4,55,0,0,3,2
0.2,0.1,0.1,0.1,27,0,0,2,1
0.2,0.3,0.3,0.7,49,1,0,3,2
0.2,0.1,0.6,0.1,83,1,0,3,1
0.2,0.3,0.3,1.0,24,0,0,2,3
1.0,0.6,1.0,0.7,47,1,1,4,3
0.4,0.1,0.3,0.7,62,0,0,4,3
0.2,0.1,0.3,1.0,48,0,0,4,3
0.2,0.3,0.1,1.0,37,0,0,4,3
0.2,0.3,0.1,0.7,27,1,0,1,2
0.2,0.3,0.3,0.7,39,0,0,1,2
0.2,0.3,0.1,0.7,42,0,0,1,2
0.4,0.1,0.3,0.1,34,0,0,1,1
0.2,0.1,0.3,0.1,44,0,0,1,1
0.2,0.3,0.3,1.0,24,1,0,4,3
0.2,0.3,0.6,0.4,18,1,0,1,2
0.2,0.3,0.6,1.0,26,1,0,4,3
1.0,0.3,1.0,0.1,40,1,1,1,1
0.2,0.3,0.1,0.1,25,0,0,1,1
0.2,0.3,0.1,0.4,32,0,0,1,2
1.0,0.3,0.6,0.1,64,0,1,1,1
0.4,0.1,0.1,0.1,50,0,0,1,1
0.2,0.3,0.1,0.1,44,0,0,1,1
0.2,0.3,0.6,0.1,28,1,0,1,1
0.7,0.3,0.6,0.1,50,1,1,1,1
0.2,0.1,0.6,0.4,26,1,0,1,2
0.2,0.3,0.1,0.4,34,0,0,1,2
1.0,1.0,0.1,0.1,49,0,1,1,1
0.7,0.6,0.6,1.0,65,0,1,4,3
0.4,0.6,0.3,0.7,30,0,1,1,2
0.2,0.3,0.3,1.0,23,0,0,2,3
0.7,0.3,0.3,1.0,47,0,1,2,3
0.7,0.6,0.3,1.0,37,0,1,2,3
0.2,0.3,0.3,0.7,22,0,0,2,3
1.0,1.0,0.6,1.0,48,1,1,4,3
0.4,0.1,0.1,1.0,64,0,0,4,3
0.2,0.1,0.6,1.0,26,1,0,4,3
0.2,0.3,0.3,1.0,35,0,0,4,3
0.2,0.3,0.3,0.7,38,0,0,2,3
0.2,0.1,0.1,1.0,58,0,0,4,3
1.0,1.0,1.0,1.0,42,1,1,2,3
0.2,0.3,0.1,1.0,51,0,0,4,3
0.4,0.1,0.3,1.0,26,0,0,2,3
0.7,0.6,1.0,0.7,37,1,1,4,3
0.2,0.1,0.1,1.0,58,0,0,4,3
0.2,0.1,0.1,1.0,37,0,0,2,3
0.7,0.6,0.6,1.0,42,1,1,4,3
0.2,0.3,0.3,0.7,33,0,0,2,3
0.2,0.1,0.3,1.0,46,0,0,4,3
1.0,0.3,1.0,0.7,45,1,1,4,3
0.7,0.6,0.6,0.7,67,0,1,4,3
1.0,0.3,0.6,1.0,36,1,1,2,3
1.0,0.3,0.6,1.0,58,0,1,4,3
0.2,0.3,0.1,1.0,38,0,0,2,3
0.7,1.0,0.3,0.1,29,1,1,1,1
0.2,0.3,0.3,0.1,43,0,0,1,1
0.2,0.3,0.3,0.7,46,0,0,1,2
0.2,0.1,0.1,0.1,39,0,0,1,1
0.2,0.1,0.3,0.1,39,1,0,1,1
1.0,0.6,0.6,0.4,35,1,1,1,2
1.0,1.0,0.3,1.0,43,1,1,4,3
0.2,0.3,0.1,1.0,36,0,0,4,3
0.2,0.3,0.1,1.0,60,1,0,4,3
0.2,0.3,0.1,1.0,49,0,0,4,3
0.2,0.1,0.3,0.1,39,0,0,1,1
0.2,0.3,0.1,0.4,37,0,0,1,2
0.2,0.1,0.1,0.7,32,0,0,1,2
0.2,0.1,0.3,0.1,38,0,0,1,1
1.0,0.3,1.0,0.1,47,1,1,1,1
0.2,0.1,0.3,0.4,33,1,0,1,2
0.2,0.1,0.1,0.1,44,1,0,1,1
0.2,0.1,0.3,0.1,21,1,0,1,1
0.2,0.1,0.3,0.4,35,0,0,1,2
0.2,0.1,0.6,0.4,24,1,0,1,2
0.4,0.1,0.1,0.7,49,0,0,4,3
0.4,0.1,0.6,0.7,33,1,0,4,3
0.2,0.1,0.1,1.0,40,0,0,4,3
0.2,0.3,0.6,1.0,16,1,0,2,3
0.4,0.3,0.3,0.4,34,0,1,1,2
0.2,0.3,0.3,1.0,18,1,0,2,3
0.4,0.3,0.1,1.0,47,0,0,4,3
0.2,0.3,0.3,0.4,45,0,0,1,2
0.4,0.3,0.3,0.4,38,0,0,1,2
0.2,0.1,0.3,0.1,45,1,0,1,1
0.2,0.1,0.1,1.0,44,0,0,4,3
0.2,0.3,0.1,1.0,30,1,0,4,3
0.4,0.1,0.1,1.0,45,0,0,4,3
0.2,0.1,0.1,0.7,27,1,0,4,3
0.4,0.3,0.1,1.0,37,1,1,4,3
0.2,0.1,0.1,1.0,56,0,0,4,3
0.2,0.3,0.3,1.0,35,0,0,2,3
1.0,0.6,0.3,0.7,71,1,1,4,3
0.2,0.3,0.3,1.0,26,1,0,2,3
0.4,0.1,0.1,1.0,38,0,0,2,3
1.0,0.6,0.3,0.7,38,1,1,1,2
0.2,0.3,0.1,0.1,31,0,0,1,1
1.0,0.6,0.1,0.7,45,0,1,1,2
0.4,0.1,0.6,0.1,43,1,0,1,1
0.2,0.1,0.1,0.4,39,0,0,1,2
0.2,0.1,0.1,0.7,18,1,0,1,2
0.2,0.1,0.1,0.4,39,0,0,1,2
0.2,0.3,0.3,0.1,42,0,0,1,1
1.0,0.3,0.3,0.7,51,0,1,1,2
1.0,1.0,0.6,0.4,38,1,1,1,2
0.2,0.1,0.1,1.0,26,1,0,4,3
0.2,0.1,0.3,0.1,20,1,0,1,1
0.2,0.3,0.6,0.7,16,1,0,1,2
0.7,0.3,0.6,0.1,49,0,1,1,1
0.7,0.6,0.6,0.1,40,0,1,1,1
1.0,0.3,0.6,0.1,52,0,1,1,1
0.4,0.3,0.1,0.4,33,0,0,1,2
0.2,0.3,0.1,0.4,38,0,0,1,2
0.7,1.0,0.6,0.1,35,1,1,1,1
0.2,0.3,0.6,0.4,27,1,0,1,2
1.0,0.3,1.0,1.0,43,1,1,4,3
0.2,0.3,0.1,1.0,42,0,0,4,3
0.2,0.1,0.1,1.0,59,0,0,4,3
1.0,1.0,0.3,1.0,72,0,1,4,3
0.2,0.3,0.1,1.0,49,0,0,4,3
0.2,0.1,0.6,1.0,51,1,0,4,3
0.4,0.3,0.3,1.0,37,1,0,2,3
1.0,1.0,0.6,0.7,38,1,1,1,2
1.0,0.6,0.6,0.4,42,1,1,1,2
0.4,0.1,0.6,0.1,25,1,0,1,1
0.4,1.0,0.3,0.4,44,1,1,1,2
0.2,0.3,0.3,1.0,62,1,0,4,3
0.2,0.1,0.1,1.0,40,0,0,2,3
0.2,0.3,0.1,0.7,42,0,0,1,2
0.2,0.1,0.6,0.4,22,1,0,1,2
0.7,0.3,0.3,1.0,48,0,1,4,3
0.4,0.6,0.1,1.0,37,1,1,4,3
0.2,0.3,0.3,0.7,42,0,0,1,2
0.2,0.3,0.1,0.4,42,1,0,1,2
0.7,0.6,1.0,0.1,26,1,1,1,1
0.2,0.3,0.1,0.7,32,0,0,2,3
0.2,0.3,0.3,1.0,28,0,0,2,3
0.7,0.3,1.0,1.0,45,0,1,4,3
1.0,0.3,0.6,0.7,45,1,1,4,3
0.2,0.3,0.6,1.0,25,1,0,4,3
0.2,0.3,0.1,1.0,60,0,0,4,3
0.2,0.3,0.3,0.4,42,0,0,1,2
0.7,0.3,0.3,0.4,55,0,1,1,2
0.2,0.1,0.3,0.1,32,0,0,1,1
0.2,0.3,0.3,0.1,44,0,0,1,1
0.2,0.1,0.1,0.1,23,1,0,1,1
0.7,0.6,0.3,0.1,53,0,1,1,1
0.2,0.3,0.6,0.1,45,1,0,1,1
1.0,0.3,1.0,0.7,39,1,1,1,2
0.2,0.1,0.1,0.7,37,0,0,1,2
0.2,0.1,0.6,0.1,20,1,0,1,1
1.0,0.3,1.0,0.4,54,0,1,1,2
0.2,0.1,0.1,0.7,32,0,0,2,3
0.4,0.3,0.3,0.7,35,1,0,4,3
1.0,0.6,0.6,0.7,46,1,1,2,3
0.2,0.1,0.1,0.7,32,0,0,1,2
1.0,1.0,0.6,0.7,38,1,1,1,2
1.0,0.3,1.0,0.4,36,1,1,1,2
1.0,0.3,0.3,0.1,46,1,1,1,1
1.0,0.6,1.0,0.1,52,1,1,1,1
0.2,0.3,0.1,0.4,34,0,0,1,2
0.7,1.0,0.6,0.1,47,0,1,1,1
0.7,0.3,0.6,0.1,36,0,1,1,1
0.7,0.3,0.3,0.4,38,0,1,1,2
0.2,0.3,0.3,0.4,27,0,0,1,2
0.2,0.3,0.1,0.1,36,0,0,1,1
0.2,0.1,0.6,0.1,42,1,0,1,1
0.4,0.1,0.3,0.1,36,0,0,1,1
0.2,0.3,0.1,0.4,44,0,0,1,2
0.4,0.3,0.1,0.4,25,1,1,1,2
1.0,0.6,0.3,0.4,41,1,1,1,2
0.2,0.3,0.3,0.1,34,0,0,1,1
0.2,0.3,0.1,0.4,36,0,0,1,2
0.2,0.3,0.1,0.4,48,0,0,1,2
0.2,0.3,0.6,0.1,21,1,0,1,1
0.2,0.1,0.1,0.7,52,0,0,4,3
0.4,0.3,0.6,1.0,25,1,0,2,3
0.2,0.1,0.1,0.7,38,0,0,2,3
0.2,0.3,0.1,1.0,32,0,0,2,3
0.2,0.3,0.1,1.0,56,0,0,4,3
1.0,0.3,0.3,1.0,55,0,1,4,3
0.2,0.3,0.3,1.0,35,0,0,2,3
0.2,0.1,0.1,1.0,41,0,0,2,3
0.4,0.6,0.1,1.0,37,0,1,2,3
0.2,0.3,0.1,0.7,44,0,0,4,3
0.2,0.3,0.3,0.4,35,0,0,1,2
0.2,0.3,0.1,0.1,48,0,0,1,1
0.4,0.1,0.1,0.7,49,1,0,1,2
0.2,0.1,0.3,0.1,16,1,0,1,1
0.2,0.1,0.3,0.7,40,0,0,1,2
0.2,0.3,0.1,0.4,19,1,0,1,2
0.7,1.0,1.0,0.7,48,1,1,1,2
1.0,0.3,0.3,0.1,44,1,1,1,1
1.0,0.3,0.3,0.7,61,1,1,1,2
0.2,0.3,0.3,0.4,20,1,0,1,2
1.0,1.0,0.6,0.7,45,1,1,4,3
0.2,0.1,0.1,1.0,28,1,0,4,3
0.4,1.0,0.1,0.4,36,0,1,1,2
0.2,0.3,0.3,1.0,28,1,0,4,3
0.2,0.3,0.1,0.1,37,0,0,1,1
0.2,0.3,0.1,0.7,21,1,0,1,2
0.2,0.1,0.3,0.1,34,0,0,1,1
0.2,0.3,0.1,0.7,28,0,0,1,2
0.2,0.1,0.1,0.1,32,1,0,1,1
1.0,0.6,0.6,0.1,50,0,1,1,1
0.2,0.1,0.3,0.1,18,1,0,1,1
0.4,0.6,0.3,0.4,25,1,1,1,2
0.4,0.6,0.6,0.1,30,1,1,1,1
0.2,0.3,0.1,0.4,35,0,0,1,2
0.2,0.1,0.6,0.4,25,1,0,1,2
1.0,0.6,0.6,0.1,48,0,1,1,1
0.2,0.1,0.1,0.4,34,0,0,1,2
1.0,0.3,0.3,0.1,61,1,1,1,1
0.4,0.3,0.1,0.1,50,0,0,1,1
0.7,1.0,0.6,0.1,35,1,1,1,1
0.2,0.3,0.1,0.4,31,0,0,1,2
0.2,0.3,0.1,0.1,26,0,0,1,1
0.2,0.1,0.3,0.4,37,0,0,1,2
0.2,0.3,0.6,0.1,30,0,0,1,1
0.4,0.6,0.1,0.1,47,1,1,1,1
0.2,0.3,0.3,0.1,46,1,0,1,1
0.2,0.1,0.1,1.0,14,1,0,2,3
0.2,0.1,0.3,0.7,52,0,0,4,3
1.0,0.6,0.3,1.0,77,1,1,4,3
0.2,0.1,0.3,1.0,21,1,0,2,3
1.0,1.0,1.0,1.0,59,0,1,4,3
0.4,1.0,0.1,0.7,45,0,1,4,3
0.4,0.1,0.1,1.0,58,0,0,4,3
0.2,0.3,0.1,0.7,45,0,0,4,3
1.0,1.0,0.3,1.0,63,0,1,4,3
0.2,0.1,0.1,1.0,60,0,0,4,3
0.2,0.1,0.1,0.7,41,0,0,4,3
0.2,0.3,0.1,1.0,45,0,0,4,3
0.7,0.3,1.0,0.7,36,1,1,1,2
0.2,0.1,0.1,1.0,59,0,0,4,3
0.2,0.1,0.3,0.1,42,0,0,1,1
1.0,0.3,0.3,0.4,64,0,1,1,2
1.0,0.3,0.6,0.1,43,1,1,1,1
1.0,0.6,0.3,0.4,64,0,1,1,2
0.2,0.1,0.1,0.4,50,0,0,1,2
0.2,0.3,0.3,0.4,32,0,0,1,2
0.2,0.1,0.1,1.0,12,1,0,2,3
0.2,0.3,0.1,1.0,30,0,0,2,3
0.4,0.3,0.3,1.0,43,1,1,2,3
1.0,0.6,0.1,1.0,59,0,1,4,3
0.4,0.6,0.3,1.0,43,0,1,4,3
0.7,0.6,0.3,1.0,46,0,1,4,3
0.2,0.1,0.3,1.0,58,0,0,4,3
0.2,0.1,0.3,1.0,25,1,0,2,3
0.2,0.1,0.3,1.0,52,0,0,4,3
0.2,0.1,0.3,1.0,46,0,0,4,3
0.2,0.1,0.6,1.0,36,1,0,4,3
0.2,0.1,0.1,1.0,35,0,0,4,3
0.2,0.1,0.1,1.0,38,0,0,2,3
0.2,0.3,0.3,0.7,26,1,0,4,3
0.2,0.1,0.1,1.0,41,0,0,4,3
1.0,0.6,1.0,1.0,47,1,1,4,3
0.2,0.1,0.1,1.0,43,0,0,4,3
0.2,0.3,0.1,1.0,53,0,0,4,3
0.4,0.3,0.6,0.7,31,1,0,4,3
0.2,0.1,0.1,1.0,36,0,0,4,3
0.2,0.1,0.1,1.0,62,1,0,4,3
0.2,0.1,0.3,1.0,41,0,0,4,3
1.0,0.6,0.6,1.0,45,1,1,4,3
0.2,0.3,0.1,1.0,43,0,0,2,3
0.2,0.1,0.3,1.0,42,0,0,4,3
1.0,0.6,0.6,1.0,57,0,1,4,3
0.2,0.1,0.6,1.0,22,1,0,2,3
0.7,0.3,0.6,0.7,49,0,1,1,2
1.0,1.0,0.6,0.4,66,1,1,1,2
0.2,0.1,0.1,0.1,31,0,0,1,1
1.0,1.0,1.0,0.4,57,0,1,1,2
1.0,0.6,0.1,0.7,53,0,1,1,2
0.4,0.3,0.3,0.4,31,0,0,1,2
0.2,0.1,0.3,0.1,44,1,0,1,1
0.2,0.1,0.1,0.7,25,0,0,2,3
0.4,0.1,0.6,0.7,29,1,0,4,3
1.0,0.3,0.6,0.7,44,1,1,4,3
0.2,0.1,0.1,1.0,14,1,0,2,3
0.2,0.3,0.3,1.0,23,0,0,2,3
0.2,0.1,0.3,1.0,40,0,0,4,3
0.4,0.3,0.1,1.0,26,0,0,2,3
0.2,0.1,0.1,0.7,26,1,0,4,3
1.0,0.3,0.3,1.0,58,0,1,4,3
1.0,0.6,1.0,0.7,52,1,1,4,3
1.0,1.0,0.1,1.0,58,0,1,4,3
0.7,1.0,0.6,1.0,36,1,1,4,3
0.2,0.3,0.3,1.0,42,0,0,4,3
1.0,1.0,0.6,1.0,51,1,1,4,3
0.2,0.3,0.6,0.7,64,1,0,4,3
0.4,0.6,0.6,1.0,34,1,1,4,3
0.2,0.1,0.6,1.0,25,1,0,4,3
0.2,0.1,0.3,1.0,14,1,0,2,3
0.2,0.1,0.3,1.0,46,0,0,4,3
1.0,1.0,0.6,1.0,60,0,1,4,3
0.2,0.3,0.1,1.0,36,0,0,4,3
0.2,0.3,0.3,0.4,27,1,0,1,2
1.0,0.3,0.6,0.4,43,1,1,1,2
1.0,0.6,0.3,0.4,50,0,1,1,2
1.0,0.3,0.6,1.0,48,0,1,2,3
0.2,0.3,0.1,1.0,35,0,0,2,3
0.2,0.3,0.3,0.4,17,1,0,1,2
1.0,1.0,0.6,0.4,59,1,1,1,2
0.2,0.1,0.3,0.7,25,1,0,1,2
1.0,0.3,0.1,0.1,48,0,1,1,1
0.7,0.3,0.3,0.1,47,1,1,1,1
0.2,0.3,0.3,0.7,31,0,0,1,2
0.2,0.1,0.1,0.7,42,0,0,1,2
0.2,0.1,0.1,0.7,23,1,0,1,2
0.4,0.1,0.1,0.1,26,1,0,1,1
0.7,0.3,0.3,0.1,55,1,1,1,1
0.4,0.1,0.3,1.0,41,0,0,4,3
0.2,0.3,0.3,0.7,27,0,0,1,2
1.0,1.0,0.3,1.0,58,0,1,4,3
0.2,0.3,0.3,1.0,49,0,0,4,3
0.2,0.1,0.1,1.0,42,0,0,4,3
0.4,0.3,0.1,1.0,37,0,0,2,3
0.7,0.3,1.0,0.7,64,0,1,4,3
0.4,0.3,0.1,0.7,58,0,0,4,3
0.4,0.1,0.1,1.0,38,0,0,2,3
0.2,0.1,0.3,0.4,23,1,0,1,2
0.2,0.1,0.3,0.4,39,1,0,1,2
0.2,0.1,0.1,0.1,31,0,0,1,1
0.2,0.3,0.1,0.1,36,0,0,1,1
0.2,0.1,0.1,0.7,46,0,0,1,2
0.2,0.3,0.3,1.0,47,0,0,4,3
0.2,0.3,0.3,1.0,27,1,0,2,3
0.2,0.3,0.3,1.0,55,0,0,4,3
0.7,1.0,0.6,0.7,51,0,1,4,3
0.2,0.1,0.6,0.7,17,1,0,2,3
0.2,0.1,0.3,0.4,33,0,0,1,2
0.2,0.3,0.1,0.1,28,1,0,1,1
0.7,0.6,0.6,0.4,38,1,1,1,2
0.2,0.3,0.1,0.1,21,1,0,1,1
0.2,0.3,0.3,0.1,35,1,0,1,1
0.2,0.3,0.1,0.1,32,0,0,1,1
1.0,1.0,0.3,0.1,45,0,1,1,1
0.2,0.3,0.6,0.1,46,1,0,1,1
0.4,0.3,0.3,0.1,36,0,0,1,1
0.4,1.0,0.3,0.7,64,0,1,4,3
1.0,0.6,0.6,0.4,59,0,1,1,2
0.7,1.0,0.3,1.0,48,0,1,4,3
0.2,0.1,0.1,0.7,36,1,0,4,3
0.2,0.3,0.1,0.7,60,0,0,4,3
0.2,0.1,0.1,0.7,37,0,0,4,3
0.4,0.3,0.3,0.1,33,0,0,1,1
0.2,0.3,0.6,0.1,16,1,0,1,1
0.2,0.3,0.1,0.4,51,0,0,1,2
0.2,0.1,0.3,0.4,30,1,0,1,2
0.4,1.0,0.1,0.4,45,0,1,1,2
0.2,0.1,0.1,0.4,48,0,0,1,2
1.0,1.0,0.6,0.7,62,1,1,1,2
0.4,0.1,0.3,0.4,24,1,0,1,2
0.4,0.3,0.3,0.1,49,1,1,1,1
0.2,0.3,0.1,0.4,27,0,0,1,1
1.0,1.0,0.6,0.1,42,1,1,1,1
0.4,0.1,0.3,0.4,37,0,0,1,2
0.0,0.3,0.3,0.4,27,0,0,1,2
1.0,1.0,0.6,0.4,59,1,1,1,2
0.2,0.1,0.3,0.7,24,1,0,1,2
0.2,0.1,0.1,0.7,30,0,0,1,2
0.4,0.1,0.1,0.1,28,1,0,1,1
0.2,0.1,0.3,0.1,30,0,0,1,1
0.2,0.1,0.3,0.1,46,1,0,1,1
0.4,0.1,0.1,1.0,35,0,0,2,3
1.0,1.0,0.6,1.0,53,0,1,2,3
0.2,0.1,0.1,1.0,28,1,0,4,3
0.2,0.1,0.3,1.0,37,0,0,4,3
0.2,0.1,0.3,1.0,29,0,0,2,3
0.2,0.1,0.1,1.0,44,0,0,2,3
0.2,0.3,0.3,1.0,49,0,0,4,3
0.2,0.3,0.3,1.0,20,1,0,2,3
0.2,0.3,0.1,1.0,28,1,0,4,3
0.2,0.3,0.1,0.7,27,1,0,1,2
0.2,0.3,0.3,1.0,24,1,0,4,3
1.0,0.3,0.6,0.7,47,0,1,1,2
0.2,0.3,0.3,0.7,40,0,0,4,3
0.4,0.3,0.3,1.0,25,1,1,2,3
0.4,0.3,0.3,0.4,30,0,0,1,2
0.2,0.3,0.6,0.4,48,1,0,1,2
1.0,0.6,0.3,0.4,40,1,1,1,2
1.0,0.3,0.6,0.7,56,0,1,4,3
0.4,1.0,0.3,1.0,58,1,1,4,3
0.2,0.3,0.1,0.7,42,0,0,4,3
0.2,0.1,0.1,1.0,43,0,0,4,3
0.2,0.3,0.3,0.4,41,0,0,1,2
0.2,0.3,0.1,0.1,33,0,0,1,1
0.2,0.1,0.1,0.1,45,0,0,1,1
0.4,0.3,0.1,0.4,50,0,0,1,2
0.2,0.1,0.3,0.1,27,0,0,1,1
0.7,0.3,0.1,0.1,35,0,1,1,1
0.2,0.1,0.1,0.7,39,0,0,1,2
0.4,1.0,0.3,0.4,42,0,1,1,2
0.2,0.3,0.6,0.1,49,1,0,1,1
0.2,0.1,0.3,0.1,26,0,0,1,1
0.2,0.3,0.1,1.0,29,1,0,4,3
0.2,0.3,0.1,0.1,35,0,0,1,1
0.2,0.3,0.1,0.1,33,0,0,1,1
