rain_risk,wind_risk,visibility_risk,slope_risk,traffic_risk_index,night_flag,monsoon_flag,road_type_enc,terrain_enc,risk_score,risk_class
0.2,0.3,0.3,1.0,44,0,0,4,3,44.72,Moderate
0.4,0.1,0.3,1.0,35,1,0,4,3,53.1,Moderate
0.4,0.3,0.1,1.0,34,1,0,4,3,51.32,Moderate
0.2,0.3,0.6,0.7,20,1,0,1,2,39.6,Moderate
0.2,0.1,0.1,0.7,29,0,0,1,2,23.62,Safe
0.2,0.3,0.3,0.4,44,1,0,1,2,35.52,Moderate
0.2,0.3,0.1,1.0,58,0,0,4,3,44.04,Moderate
0.2,0.1,0.3,1.0,60,1,0,4,3,54.0,Moderate
1.0,0.3,0.3,1.0,48,1,1,4,3,73.84,Dangerous
0.4,1.0,0.6,0.7,44,1,1,2,3,65.52,Dangerous
0.2,0.3,0.3,1.0,38,1,0,2,3,48.04,Moderate
0.2,0.1,0.1,1.0,64,0,0,4,3,43.52,Moderate
0.4,0.3,0.3,0.4,30,0,0,1,2,28.6,Safe
0.2,0.3,0.3,0.4,32,0,0,1,2,25.36,Safe
0.4,1.0,0.1,0.7,48,0,1,1,2,43.84,Moderate
0.2,0.1,0.1,0.7,28,0,0,2,3,29.84,Safe
0.2,0.3,0.3,1.0,36,0,0,4,3,43.28,Moderate
0.2,0.1,0.1,0.7,33,0,0,1,2,24.34,Safe
1.0,0.6,0.3,1.0,60,0,1,4,3,70.4,Dangerous
0.2,0.3,0.3,0.4,35,0,0,1,2,25.9,Safe
0.7,0.3,1.0,1.0,67,0,1,4,3,75.06,Dangerous
0.2,0.1,0.1,0.4,51,0,0,1,2,23.98,Safe
1.0,1.0,0.6,0.1,45,1,1,1,1,58.9,Moderate
0.2,0.1,0.1,0.1,42,0,0,1,1,14.76,Safe
0.2,0.3,0.1,0.1,30,1,0,1,1,22.2,Safe
0.2,0.3,0.1,0.4,30,0,0,1,2,21.8,Safe
0.2,0.1,0.1,0.1,20,1,0,1,1,18.8,Safe
1.0,1.0,0.3,0.1,45,0,1,1,1,46.1,Moderate
1.0,0.6,0.3,0.4,46,0,1,1,2,50.68,Moderate
0.2,0.3,0.3,0.4,31,0,0,1,2,25.18,Safe
1.0,1.0,0.3,0.1,51,0,1,1,1,47.18,Moderate
0.2,0.1,0.1,0.7,49,0,0,1,2,27.22,Safe
1.0,0.6,0.6,0.7,34,1,1,2,3,71.32,Dangerous
1.0,0.3,0.3,0.7,48,1,1,4,3,70.24,Dangerous
0.7,0.6,0.6,1.0,32,0,1,2,3,61.16,Dangerous
0.2,0.3,0.1,1.0,44,0,0,4,3,41.52,Moderate
0.2,0.3,0.3,0.1,33,0,0,1,1,17.94,Safe
0.2,0.3,0.3,0.1,42,0,0,1,1,19.56,Safe
0.2,0.1,0.1,0.4,23,1,0,1,2,26.94,Safe
0.2,0.3,0.3,0.1,32,0,0,1,1,17.76,Safe
1.0,1.0,0.6,0.4,45,0,1,1,2,58.5,Moderate
0.2,0.3,0.6,0.4,41,1,0,1,2,39.78,Moderate
0.2,0.3,0.3,0.4,30,0,0,1,2,25.0,Safe
0.2,0.1,0.3,0.7,20,0,0,2,2,27.6,Safe
0.2,0.1,0.3,0.1,68,0,0,3,1,26.24,Safe
0.4,0.3,0.1,0.4,35,0,0,1,2,26.3,Safe
0.2,0.3,0.1,0.1,57,0,0,3,1,22.66,Safe
1.0,0.6,1.0,0.4,57,1,1,3,2,75.46,Dangerous
0.2,0.3,0.1,0.4,55,0,0,3,2,29.9,Safe
0.2,0.1,0.1,0.1,27,0,0,2,1,14.46,Safe
0.2,0.3,0.3,0.7,49,1,0,3,2,43.62,Moderate
0.2,0.1,0.6,0.1,83,1,0,3,1,41.74,Moderate
0.2,0.3,0.3,1.0,24,0,0,2,3,37.52,Moderate
1.0,0.6,1.0,0.7,47,1,1,4,3,83.66,Dangerous
0.4,0.1,0.3,0.7,62,0,0,4,3,46.36,Moderate
0.2,0.1,0.3,1.0,48,0,0,4,3,43.84,Moderate
0.2,0.3,0.1,1.0,37,0,0,4,3,40.26,Moderate
0.2,0.3,0.1,0.7,27,1,0,1,2,32.86,Moderate
0.2,0.3,0.3,0.7,39,0,0,1,2,30.22,Moderate
0.2,0.3,0.1,0.7,42,0,0,1,2,27.56,Safe
0.4,0.1,0.3,0.1,34,0,0,1,1,20.12,Safe
0.2,0.1,0.3,0.1,44,0,0,1,1,18.32,Safe
0.2,0.3,0.3,1.0,24,1,0,4,3,49.12,Moderate
0.2,0.3,0.6,0.4,18,1,0,1,2,35.64,Moderate
0.2,0.3,0.6,1.0,26,1,0,4,3,54.28,Moderate
1.0,0.3,1.0,0.1,40,1,1,1,1,58.8,Moderate
0.2,0.3,0.1,0.1,25,0,0,1,1,13.3,Safe
0.2,0.3,0.1,0.4,32,0,0,1,2,22.16,Safe
1.0,0.3,0.6,0.1,64,0,1,1,1,48.72,Moderate
0.4,0.1,0.1,0.1,50,0,0,1,1,19.8,Safe
0.2,0.3,0.1,0.1,44,0,0,1,1,16.72,Safe
0.2,0.3,0.6,0.1,28,1,0,1,1,29.84,Safe
0.7,0.3,0.6,0.1,50,1,1,1,1,48.8,Moderate
0.2,0.1,0.6,0.4,26,1,0,1,2,35.48,Moderate
0.2,0.3,0.1,0.4,34,0,0,1,2,22.52,Safe
1.0,1.0,0.1,0.1,49,0,1,1,1,43.62,Moderate
0.7,0.6,0.6,1.0,65,0,1,4,3,70.7,Dangerous
0.4,0.6,0.3,0.7,30,0,1,1,2,40.6,Moderate
0.2,0.3,0.3,1.0,23,0,0,2,3,37.34,Moderate
0.7,0.3,0.3,1.0,47,0,1,2,3,56.66,Moderate
0.7,0.6,0.3,1.0,37,0,1,2,3,57.26,Moderate
0.2,0.3,0.3,0.7,22,0,0,2,3,33.56,Moderate
1.0,1.0,0.6,1.0,48,1,1,4,3,84.24,Dangerous
0.4,0.1,0.1,1.0,64,0,0,4,3,47.12,Moderate
0.2,0.1,0.6,1.0,26,1,0,4,3,52.68,Moderate
0.2,0.3,0.3,1.0,35,0,0,4,3,43.1,Moderate
0.2,0.3,0.3,0.7,38,0,0,2,3,36.44,Moderate
0.2,0.1,0.1,1.0,58,0,0,4,3,42.44,Moderate
1.0,1.0,1.0,1.0,42,1,1,2,3,85.96,Dangerous
0.2,0.3,0.1,1.0,51,0,0,4,3,42.78,Moderate
0.4,0.1,0.3,1.0,26,0,0,2,3,39.88,Moderate
0.7,0.6,1.0,0.7,37,1,1,4,3,76.46,Dangerous
0.2,0.1,0.1,1.0,58,0,0,4,3,42.44,Moderate
0.2,0.1,0.1,1.0,37,0,0,2,3,35.06,Moderate
0.7,0.6,0.6,1.0,42,1,1,4,3,74.56,Dangerous
0.2,0.3,0.3,0.7,33,0,0,2,3,35.54,Moderate
0.2,0.1,0.3,1.0,46,0,0,4,3,43.48,Moderate
1.0,0.3,1.0,0.7,45,1,1,4,3,80.9,Dangerous
0.7,0.6,0.6,0.7,67,0,1,4,3,67.46,Dangerous
1.0,0.3,0.6,1.0,36,1,1,2,3,72.88,Dangerous
1.0,0.3,0.6,1.0,58,0,1,4,3,72.44,Dangerous
0.2,0.3,0.1,1.0,38,0,0,2,3,36.84,Moderate
0.7,1.0,0.3,0.1,29,1,1,1,1,45.82,Moderate
0.2,0.3,0.3,0.1,43,0,0,1,1,19.74,Safe
0.2,0.3,0.3,0.7,46,0,0,1,2,31.48,Moderate
0.2,0.1,0.1,0.1,39,0,0,1,1,14.22,Safe
0.2,0.1,0.3,0.1,39,1,0,1,1,25.42,Safe
1.0,0.6,0.6,0.4,35,1,1,1,2,61.5,Dangerous
1.0,1.0,0.3,1.0,43,1,1,4,3,78.54,Dangerous
0.2,0.3,0.1,1.0,36,0,0,4,3,40.08,Moderate
0.2,0.3,0.1,1.0,60,1,0,4,3,52.4,Moderate
0.2,0.3,0.1,1.0,49,0,0,4,3,42.42,Moderate
0.2,0.1,0.3,0.1,39,0,0,1,1,17.42,Safe
0.2,0.3,0.1,0.4,37,0,0,1,2,23.06,Safe
0.2,0.1,0.1,0.7,32,0,0,1,2,24.16,Safe
0.2,0.1,0.3,0.1,38,0,0,1,1,17.24,Safe
1.0,0.3,1.0,0.1,47,1,1,1,1,60.06,Dangerous
0.2,0.1,0.3,0.4,33,1,0,1,2,31.94,Moderate
0.2,0.1,0.1,0.1,44,1,0,1,1,23.12,Safe
0.2,0.1,0.3,0.1,21,1,0,1,1,22.18,Safe
0.2,0.1,0.3,0.4,35,0,0,1,2,24.3,Safe
0.2,0.1,0.6,0.4,24,1,0,1,2,35.12,Moderate
0.4,0.1,0.1,0.7,49,0,0,4,3,40.82,Moderate
0.4,0.1,0.6,0.7,33,1,0,4,3,53.94,Moderate
0.2,0.1,0.1,1.0,40,0,0,4,3,39.2,Moderate
0.2,0.3,0.6,1.0,16,1,0,2,3,48.88,Moderate
0.4,0.3,0.3,0.4,34,0,1,1,2,35.32,Moderate
0.2,0.3,0.3,1.0,18,1,0,2,3,44.44,Moderate
0.4,0.3,0.1,1.0,47,0,0,4,3,45.66,Moderate
0.2,0.3,0.3,0.4,45,0,0,1,2,27.7,Safe
0.4,0.3,0.3,0.4,38,0,0,1,2,30.04,Moderate
0.2,0.1,0.3,0.1,45,1,0,1,1,26.5,Safe
0.2,0.1,0.1,1.0,44,0,0,4,3,39.92,Moderate
0.2,0.3,0.1,1.0,30,1,0,4,3,47.0,Moderate
0.4,0.1,0.1,1.0,45,0,0,4,3,43.7,Moderate
0.2,0.1,0.1,0.7,27,1,0,4,3,41.26,Moderate
0.4,0.3,0.1,1.0,37,1,1,4,3,57.86,Moderate
0.2,0.1,0.1,1.0,56,0,0,4,3,42.08,Moderate
0.2,0.3,0.3,1.0,35,0,0,2,3,39.5,Moderate
1.0,0.6,0.3,0.7,71,1,1,4,3,76.78,Dangerous
0.2,0.3,0.3,1.0,26,1,0,2,3,45.88,Moderate
0.4,0.1,0.1,1.0,38,0,0,2,3,38.84,Moderate
1.0,0.6,0.3,0.7,38,1,1,1,2,60.84,Dangerous
0.2,0.3,0.1,0.1,31,0,0,1,1,14.38,Safe
1.0,0.6,0.1,0.7,45,0,1,1,2,50.9,Moderate
0.4,0.1,0.6,0.1,43,1,0,1,1,34.54,Moderate
0.2,0.1,0.1,0.4,39,0,0,1,2,21.82,Safe
0.2,0.1,0.1,0.7,18,1,0,1,2,29.64,Safe
0.2,0.1,0.1,0.4,39,0,0,1,2,21.82,Safe
0.2,0.3,0.3,0.1,42,0,0,1,1,19.56,Safe
1.0,0.3,0.3,0.7,51,0,1,1,2,52.78,Moderate
1.0,1.0,0.6,0.4,38,1,1,1,2,65.24,Dangerous
0.2,0.1,0.1,1.0,26,1,0,4,3,44.68,Moderate
0.2,0.1,0.3,0.1,20,1,0,1,1,22.0,Safe
0.2,0.3,0.6,0.7,16,1,0,1,2,38.88,Moderate
0.7,0.3,0.6,0.1,49,0,1,1,1,40.62,Moderate
0.7,0.6,0.6,0.1,40,0,1,1,1,41.4,Moderate
1.0,0.3,0.6,0.1,52,0,1,1,1,46.56,Moderate
0.4,0.3,0.1,0.4,33,0,0,1,2,25.94,Safe
0.2,0.3,0.1,0.4,38,0,0,1,2,23.24,Safe
0.7,1.0,0.6,0.1,35,1,1,1,1,51.7,Moderate
0.2,0.3,0.6,0.4,27,1,0,1,2,37.26,Moderate
1.0,0.3,1.0,1.0,43,1,1,4,3,84.14,Dangerous
0.2,0.3,0.1,1.0,42,0,0,4,3,41.16,Moderate
0.2,0.1,0.1,1.0,59,0,0,4,3,42.62,Moderate
1.0,1.0,0.3,1.0,72,0,1,4,3,75.76,Dangerous
0.2,0.3,0.1,1.0,49,0,0,4,3,42.42,Moderate
0.2,0.1,0.6,1.0,51,1,0,4,3,57.18,Moderate
0.4,0.3,0.3,1.0,37,1,0,2,3,51.46,Moderate
1.0,1.0,0.6,0.7,38,1,1,1,2,68.84,Dangerous
1.0,0.6,0.6,0.4,42,1,1,1,2,62.76,Dangerous
0.4,0.1,0.6,0.1,25,1,0,1,1,31.3,Moderate
0.4,1.0,0.3,0.4,44,1,1,1,2,50.72,Moderate
0.2,0.3,0.3,1.0,62,1,0,4,3,55.96,Moderate
0.2,0.1,0.1,1.0,40,0,0,2,3,35.6,Moderate
0.2,0.3,0.1,0.7,42,0,0,1,2,27.56,Safe
0.2,0.1,0.6,0.4,22,1,0,1,2,34.76,Moderate
0.7,0.3,0.3,1.0,48,0,1,4,3,60.44,Dangerous
0.4,0.6,0.1,1.0,37,1,1,4,3,60.26,Dangerous
0.2,0.3,0.3,0.7,42,0,0,1,2,30.76,Moderate
0.2,0.3,0.1,0.4,42,1,0,1,2,31.96,Moderate
0.7,0.6,1.0,0.1,26,1,1,1,1,53.28,Moderate
0.2,0.3,0.1,0.7,32,0,0,2,3,32.16,Moderate
0.2,0.3,0.3,1.0,28,0,0,2,3,38.24,Moderate
0.7,0.3,1.0,1.0,45,0,1,4,3,71.1,Dangerous
1.0,0.3,0.6,0.7,45,1,1,4,3,74.5,Dangerous
0.2,0.3,0.6,1.0,25,1,0,4,3,54.1,Moderate
0.2,0.3,0.1,1.0,60,0,0,4,3,44.4,Moderate
0.2,0.3,0.3,0.4,42,0,0,1,2,27.16,Safe
0.7,0.3,0.3,0.4,55,0,1,1,2,44.5,Moderate
0.2,0.1,0.3,0.1,32,0,0,1,1,16.16,Safe
0.2,0.3,0.3,0.1,44,0,0,1,1,19.92,Safe
0.2,0.1,0.1,0.1,23,1,0,1,1,19.34,Safe
0.7,0.6,0.3,0.1,53,0,1,1,1,38.94,Moderate
0.2,0.3,0.6,0.1,45,1,0,1,1,32.9,Moderate
1.0,0.3,1.0,0.7,39,1,1,1,2,69.82,Dangerous
0.2,0.1,0.1,0.7,37,0,0,1,2,25.06,Safe
0.2,0.1,0.6,0.1,20,1,0,1,1,26.8,Safe
1.0,0.3,1.0,0.4,54,0,1,1,2,60.92,Dangerous
0.2,0.1,0.1,0.7,32,0,0,2,3,30.56,Moderate
0.4,0.3,0.3,0.7,35,1,0,4,3,51.1,Moderate
1.0,0.6,0.6,0.7,46,1,1,2,3,73.48,Dangerous
0.2,0.1,0.1,0.7,32,0,0,1,2,24.16,Safe
1.0,1.0,0.6,0.7,38,1,1,1,2,68.84,Dangerous
1.0,0.3,1.0,0.4,36,1,1,1,2,65.68,Dangerous
1.0,0.3,0.3,0.1,46,1,1,1,1,48.68,Moderate
1.0,0.6,1.0,0.1,52,1,1,1,1,63.36,Dangerous
0.2,0.3,0.1,0.4,34,0,0,1,2,22.52,Safe
0.7,1.0,0.6,0.1,47,0,1,1,1,45.86,Moderate
0.7,0.3,0.6,0.1,36,0,1,1,1,38.28,Moderate
0.7,0.3,0.3,0.4,38,0,1,1,2,41.44,Moderate
0.2,0.3,0.3,0.4,27,0,0,1,2,24.46,Safe
0.2,0.3,0.1,0.1,36,0,0,1,1,15.28,Safe
0.2,0.1,0.6,0.1,42,1,0,1,1,30.76,Moderate
0.4,0.1,0.3,0.1,36,0,0,1,1,20.48,Safe
0.2,0.3,0.1,0.4,44,0,0,1,2,24.32,Safe
0.4,0.3,0.1,0.4,25,1,1,1,2,38.5,Moderate
1.0,0.6,0.3,0.4,41,1,1,1,2,57.78,Moderate
0.2,0.3,0.3,0.1,34,0,0,1,1,18.12,Safe
0.2,0.3,0.1,0.4,36,0,0,1,2,22.88,Safe
0.2,0.3,0.1,0.4,48,0,0,1,2,25.04,Safe
0.2,0.3,0.6,0.1,21,1,0,1,1,28.58,Safe
0.2,0.1,0.1,0.7,52,0,0,4,3,37.76,Moderate
0.4,0.3,0.6,1.0,25,1,0,2,3,54.1,Moderate
0.2,0.1,0.1,0.7,38,0,0,2,3,31.64,Moderate
0.2,0.3,0.1,1.0,32,0,0,2,3,35.76,Moderate
0.2,0.3,0.1,1.0,56,0,0,4,3,43.68,Moderate
1.0,0.3,0.3,1.0,55,0,1,4,3,67.1,Dangerous
0.2,0.3,0.3,1.0,35,0,0,2,3,39.5,Moderate
0.2,0.1,0.1,1.0,41,0,0,2,3,35.78,Moderate
0.4,0.6,0.1,1.0,37,0,1,2,3,48.66,Moderate
0.2,0.3,0.1,0.7,44,0,0,4,3,37.92,Moderate
0.2,0.3,0.3,0.4,35,0,0,1,2,25.9,Safe
0.2,0.3,0.1,0.1,48,0,0,1,1,17.44,Safe
0.4,0.1,0.1,0.7,49,1,0,1,2,38.82,Moderate
0.2,0.1,0.3,0.1,16,1,0,1,1,21.28,Safe
0.2,0.1,0.3,0.7,40,0,0,1,2,28.8,Safe
0.2,0.3,0.1,0.4,19,1,0,1,2,27.82,Safe
0.7,1.0,1.0,0.7,48,1,1,1,2,71.64,Dangerous
1.0,0.3,0.3,0.1,44,1,1,1,1,48.32,Moderate
1.0,0.3,0.3,0.7,61,1,1,1,2,62.58,Dangerous
0.2,0.3,0.3,0.4,20,1,0,1,2,31.2,Moderate
1.0,1.0,0.6,0.7,45,1,1,4,3,80.1,Dangerous
0.2,0.1,0.1,1.0,28,1,0,4,3,45.04,Moderate
0.4,1.0,0.1,0.4,36,0,1,1,2,38.08,Moderate
0.2,0.3,0.3,1.0,28,1,0,4,3,49.84,Moderate
0.2,0.3,0.1,0.1,37,0,0,1,1,15.46,Safe
0.2,0.3,0.1,0.7,21,1,0,1,2,31.78,Moderate
0.2,0.1,0.3,0.1,34,0,0,1,1,16.52,Safe
0.2,0.3,0.1,0.7,28,0,0,1,2,25.04,Safe
0.2,0.1,0.1,0.1,32,1,0,1,1,20.96,Safe
1.0,0.6,0.6,0.1,50,0,1,1,1,48.6,Moderate
0.2,0.1,0.3,0.1,18,1,0,1,1,21.64,Safe
0.4,0.6,0.3,0.4,25,1,1,1,2,44.1,Moderate
0.4,0.6,0.6,0.1,30,1,1,1,1,42.2,Moderate
0.2,0.3,0.1,0.4,35,0,0,1,2,22.7,Safe
0.2,0.1,0.6,0.4,25,1,0,1,2,35.3,Moderate
1.0,0.6,0.6,0.1,48,0,1,1,1,48.24,Moderate
0.2,0.1,0.1,0.4,34,0,0,1,2,20.92,Safe
1.0,0.3,0.3,0.1,61,1,1,1,1,51.38,Moderate
0.4,0.3,0.1,0.1,50,0,0,1,1,21.4,Safe
0.7,1.0,0.6,0.1,35,1,1,1,1,51.7,Moderate
0.2,0.3,0.1,0.4,31,0,0,1,2,21.98,Safe
0.2,0.3,0.1,0.1,26,0,0,1,1,13.48,Safe
0.2,0.1,0.3,0.4,37,0,0,1,2,24.66,Safe
0.2,0.3,0.6,0.1,30,0,0,1,1,22.2,Safe
0.4,0.6,0.1,0.1,47,1,1,1,1,37.26,Moderate
0.2,0.3,0.3,0.1,46,1,0,1,1,28.28,Safe
0.2,0.1,0.1,1.0,14,1,0,2,3,38.92,Moderate
0.2,0.1,0.3,0.7,52,0,0,4,3,40.96,Moderate
1.0,0.6,0.3,1.0,77,1,1,4,3,81.46,Dangerous
0.2,0.1,0.3,1.0,21,1,0,2,3,43.38,Moderate
1.0,1.0,1.0,1.0,59,0,1,4,3,84.62,Dangerous
0.4,1.0,0.1,0.7,45,0,1,4,3,53.3,Moderate
0.4,0.1,0.1,1.0,58,0,0,4,3,46.04,Moderate
0.2,0.3,0.1,0.7,45,0,0,4,3,38.1,Moderate
1.0,1.0,0.3,1.0,63,0,1,4,3,74.14,Dangerous
0.2,0.1,0.1,1.0,60,0,0,4,3,42.8,Moderate
0.2,0.1,0.1,0.7,41,0,0,4,3,35.78,Moderate
0.2,0.3,0.1,1.0,45,0,0,4,3,41.7,Moderate
0.7,0.3,1.0,0.7,36,1,1,1,2,63.88,Dangerous
0.2,0.1,0.1,1.0,59,0,0,4,3,42.62,Moderate
0.2,0.1,0.3,0.1,42,0,0,1,1,17.96,Safe
1.0,0.3,0.3,0.4,64,0,1,1,2,51.52,Moderate
1.0,0.3,0.6,0.1,43,1,1,1,1,52.94,Moderate
1.0,0.6,0.3,0.4,64,0,1,1,2,53.92,Moderate
0.2,0.1,0.1,0.4,50,0,0,1,2,23.8,Safe
0.2,0.3,0.3,0.4,32,0,0,1,2,25.36,Safe
0.2,0.1,0.1,1.0,12,1,0,2,3,38.56,Moderate
0.2,0.3,0.1,1.0,30,0,0,2,3,35.4,Moderate
0.4,0.3,0.3,1.0,43,1,1,2,3,58.54,Moderate
1.0,0.6,0.1,1.0,59,0,1,4,3,67.02,Dangerous
0.4,0.6,0.3,1.0,43,0,1,4,3,56.54,Moderate
0.7,0.6,0.3,1.0,46,0,1,4,3,62.48,Dangerous
0.2,0.1,0.3,1.0,58,0,0,4,3,45.64,Moderate
0.2,0.1,0.3,1.0,25,1,0,2,3,44.1,Moderate
0.2,0.1,0.3,1.0,52,0,0,4,3,44.56,Moderate
0.2,0.1,0.3,1.0,46,0,0,4,3,43.48,Moderate
0.2,0.1,0.6,1.0,36,1,0,4,3,54.48,Moderate
0.2,0.1,0.1,1.0,35,0,0,4,3,38.3,Moderate
0.2,0.1,0.1,1.0,38,0,0,2,3,35.24,Moderate
0.2,0.3,0.3,0.7,26,1,0,4,3,45.88,Moderate
0.2,0.1,0.1,1.0,41,0,0,4,3,39.38,Moderate
1.0,0.6,1.0,1.0,47,1,1,4,3,87.26,Dangerous
0.2,0.1,0.1,1.0,43,0,0,4,3,39.74,Moderate
0.2,0.3,0.1,1.0,53,0,0,4,3,43.14,Moderate
0.4,0.3,0.6,0.7,31,1,0,4,3,55.18,Moderate
0.2,0.1,0.1,1.0,36,0,0,4,3,38.48,Moderate
0.2,0.1,0.1,1.0,62,1,0,4,3,51.16,Moderate
